geneSymbol	HGNCID
FATZ-3	HGNC:18565
Cish4	HGNC:16833
HMGB1L11	HGNC:13316
APPL	HGNC:24035
PTC3	HGNC:7671
FLJ21313	HGNC:24911
KIAA1688	HGNC:29351
RN5S186	HGNC:43086
MCCB	HGNC:6937
ZFYVE31	HGNC:24804
tRNA-Ser-GCT-4-3	HGNC:34898
TOME-1	HGNC:14624
AMCase	HGNC:17432
NWC	HGNC:25142
MARCH-I	HGNC:26077
NKCC2	HGNC:10910
MGC11102	HGNC:28147
CT47.8	HGNC:33289
PAN1	HGNC:22948
hs6M1-24	HGNC:8278
TRI-AAT5-2	HGNC:34955
CXorf68	HGNC:41915
FLJ23112	HGNC:20988
FLJ38183	HGNC:26994
PARCC1	HGNC:25514
hs6M1-4	HGNC:8259
NBP35	HGNC:8041
HMSE1	HGNC:1863
URK1	HGNC:14859
EPB49	HGNC:3382
Cipar1	HGNC:24536
AMCD1	HGNC:12011
LKAP	HGNC:29562
FLJ25513	HGNC:30500
FABP3-ps	HGNC:3558
KIAA0447	HGNC:20863
AC006262.5	HGNC:52559
SEPT4	HGNC:9165
TRNAQ34P	HGNC:35015
Hsc40	HGNC:14887
MGC35334	HGNC:18348
FLJ23199	HGNC:25677
PIG-A	HGNC:8957
BIgR	HGNC:17601
tRNA-Ala-AGC-19-1	HGNC:34809
PVRL4	HGNC:19688
FLJ11129	HGNC:17200
ATRC2	HGNC:11060
DLX8	HGNC:2917
hsa-mir-4733	HGNC:41638
AMCF-I	HGNC:6025
C17orf54	HGNC:26863
EMILIN	HGNC:19880
AsnRS	HGNC:7643
RP11-137J7.2	HGNC:40406
SCARB3	HGNC:1663
DSCR5	HGNC:3046
MUC-24	HGNC:1632
CLC-7	HGNC:2025
RTS	HGNC:2348
MGC104931	HGNC:26628
KIF3X	HGNC:19167
FLJ30403	HGNC:44320
ACA40	HGNC:32633
FLJ25351	HGNC:14438
CED12	HGNC:17289
PICT1	HGNC:4333
TCONS_00009551	HGNC:51388
ZCSL1	HGNC:16136
KIAA1040	HGNC:29177
ENIGMA	HGNC:22958
ANKRA1	HGNC:9987
SPDYE15P	HGNC:51511
EBF	HGNC:3126
C7orf18	HGNC:21683
MGC119144	HGNC:18453
TAF2N	HGNC:11547
PAST4	HGNC:3245
ERGIC-53L	HGNC:6632
FBHOk	HGNC:565
UGT1C	HGNC:12535
PBX2	HGNC:8635
CAPZ	HGNC:1490
CNT3	HGNC:16484
H2B/r	HGNC:4761
SRP14-AS1	HGNC:48619
C6orf181	HGNC:21560
EEF-1BETA5A	HGNC:3209
TM4SF11	HGNC:18553
PRKCL2	HGNC:9406
RBM30	HGNC:28842
RanBP11	HGNC:20628
bB439H18.3	HGNC:29374
TRNAL13	HGNC:34692
FLJ13220	HGNC:25799
PDNP2	HGNC:3357
Shfdg1	HGNC:10845
CD210a	HGNC:5964
salvador	HGNC:17795
CGB4	HGNC:6584
MOV34-34KD	HGNC:21749
EID-2	HGNC:28292
G6PT2	HGNC:4061
ZCCHC21B	HGNC:28842
CBFA3	HGNC:10473
KIAA1917	HGNC:29402
YAF9	HGNC:24859
