geneSymbol	HGNCID
FLJ31874	HGNC:27904
OR4H7P	HGNC:8312
HSTPCR27	HGNC:8182
HTF9A	HGNC:9847
FAM101B	HGNC:28705
FLJ11838	HGNC:25686
LINC01131	HGNC:49422
HTPCRX18	HGNC:8270
VCX10R	HGNC:12667
TRBV125	HGNC:12187
HIST3H2BA	HGNC:20515
K2p7.1	HGNC:6282
ANKRD38	HGNC:27263
GalNAc-T11	HGNC:19875
PPP1R98	HGNC:18039
UMPK	HGNC:12562
ARG99	HGNC:24099
AF6q21	HGNC:3821
BHR1	HGNC:5973
CRE-BPA	HGNC:16844
smMLCK	HGNC:7590
DXS399E	HGNC:12810
NY-REN-7	HGNC:29940
CGI-18	HGNC:24268
KIAA1370	HGNC:25609
FLJ31034	HGNC:10464
HCCAT3	HGNC:48598
hRIP	HGNC:28641
HRNBP1	HGNC:18222
C6orf41	HGNC:18772
CYP5A1	HGNC:11609
HSUP1	HGNC:33101
bA319I23.1	HGNC:25794
SDPII	HGNC:8571
hsa-mir-4308	HGNC:38206
ANX31	HGNC:547
FLJ10989	HGNC:21020
RN5S231	HGNC:43131
FLJ40168	HGNC:32307
tRNA-Ser-AGA-2-4	HGNC:34810
C8orf80	HGNC:33550
hsa-mir-429	HGNC:13784
C11orf75	HGNC:24810
TCS3	HGNC:18028
JJJ1	HGNC:27030
enkurin	HGNC:28388
FBX14	HGNC:16510
hsa-mir-4760	HGNC:41698
C15orf34	HGNC:25810
hsa-mir-6839	HGNC:49953
BIR9	HGNC:6262
hsa-mir-486-2	HGNC:50213
CD208	HGNC:14582
UNQ6288	HGNC:31353
FLJ30320	HGNC:29567
RRP45	HGNC:9137
GKLF	HGNC:6348
lncCDCA3L	HGNC:56264
MIRN1182	HGNC:35263
KRT5A	HGNC:6442
AC008957.1	HGNC:56374
TAFII80	HGNC:11540
FLJ11457	HGNC:25660
TEX34	HGNC:26349
MIRN29B1	HGNC:31619
OR22-1	HGNC:15404
3OST1	HGNC:5194
C17orf45	HGNC:28619
SF3A3P	HGNC:16576
LARP3	HGNC:11316
PDZK4	HGNC:21167
SCURFIN	HGNC:6106
GGF	HGNC:7997
FLJ38608	HGNC:26781
CT12.5	HGNC:30930
U61	HGNC:10218
TAFII31L	HGNC:17306
TCRBV10S2	HGNC:12178
HUFI-1	HGNC:6702
FLJ12888	HGNC:25764
GABATR	HGNC:11042
SLC66A4	HGNC:2518
RN5S326	HGNC:43226
FLJ10599	HGNC:23207
DXS6673E	HGNC:13054
hs6M1-18	HGNC:8176
hsa-mir-3913-2	HGNC:38953
OPPG	HGNC:6697
CTES7D	HGNC:44337
SERPINA2P	HGNC:8985
ATPIIB	HGNC:13541
KIAA0195	HGNC:28983
WEX6	HGNC:30084
SgVII	HGNC:12684
NR1B1	HGNC:9864
Shax3	HGNC:30599
Mum2	HGNC:16846
NKP46	HGNC:6731
kalinin-105kDa	HGNC:6493
hsa-mir-3591	HGNC:41875
hs6M1-13	HGNC:8256
MIRN507	HGNC:32144
PTPNS1L3	HGNC:16247
CLRN1OS	HGNC:30895
COXVIB2	HGNC:24380
CENTD3	HGNC:24097
FLJ35725	HGNC:26653
PSP24(beta)	HGNC:13302
C2orf86	HGNC:28027
TRNAA6	HGNC:34601
SPG47	HGNC:572
H3.3B	HGNC:4765
C1orf51	HGNC:25200
COX8L	HGNC:2294
MGC71999	HGNC:23290
CLAPS3	HGNC:2013
cIAP2	HGNC:591
EHOC-1	HGNC:11868
SIGLECP12	HGNC:15618
SNX19P	HGNC:16765
BETA2	HGNC:7762
CML	HGNC:1014
gry	HGNC:25751
FLJ40864	HGNC:12958
EDM5	HGNC:6909
FcRn	HGNC:3621
hsa-mir-4504	HGNC:41624
LETS	HGNC:3778
GATD7	HGNC:4378
OCTL3	HGNC:8494
KIAA0068	HGNC:13759
HSM1	HGNC:27609
C10orf116	HGNC:24043
FLJ12496	HGNC:19089
GPR144	HGNC:18651
DKFZP434A043	HGNC:24999
THRAP6	HGNC:23032
FLJ13089	HGNC:25783
NEDD5	HGNC:7729
HGFB	HGNC:4893
C1orf72	HGNC:25488
CD3-epsilon	HGNC:1674
spexin	HGNC:28139
C13orf11	HGNC:20329
PDI5	HGNC:18368
TMEM148	HGNC:28312
hsa-mir-6849	HGNC:49991
CD102	HGNC:5345
GPP34	HGNC:15452
CILD6	HGNC:16473
CT39	HGNC:8072
RP11-1100L3.8	HGNC:54409
BK126B4.1	HGNC:14408
RP1-127C7.4	HGNC:32152
FLJ42177	HGNC:33814
FACVL1	HGNC:10996
HHT1	HGNC:3349
TRNAD6	HGNC:34696
VLCS	HGNC:10996
GBAP	HGNC:4178
HNP36	HGNC:11004
hsa-mir-7-2	HGNC:31639
BC016153	HGNC:25194
AFAP1AS	HGNC:28141
DFNA67	HGNC:15761
OR15-71	HGNC:8312
LAG2	HGNC:4414
MIRN520H	HGNC:32125
CD300LE	HGNC:28874
TMEM85	HGNC:28032
HSPC031	HGNC:24328
DKFZp686F0810	HGNC:27977
ZHC32	HGNC:12904
LYZL3	HGNC:16260
hsa-mir-154	HGNC:31541
SELB	HGNC:24614
NYD-SP18	HGNC:30704
FLJ22671	HGNC:26216
KIAA0649P3	HGNC:42017
KIAA0750	HGNC:24693
DEAR	HGNC:52397
LINC01059	HGNC:29214
maba1	HGNC:29618
DKFZp762E1312	HGNC:25444
ORF34	HGNC:16949
GUARDIN	HGNC:52548
HTPZP2	HGNC:9686
PSORS12	HGNC:13094
PGR4	HGNC:19061
ZNF769	HGNC:17680
hLCB2a	HGNC:11278
TRBJ21	HGNC:12168
bA164N7.1	HGNC:23655
hnRNPA1-Lp	HGNC:13957
tuberin	HGNC:12363
CSNB1B	HGNC:4598
C2orf84	HGNC:34418
KIAA0394	HGNC:4169
STZ	HGNC:10864
bA758C21.1	HGNC:21476
CCSP	HGNC:12523
TRNAA20	HGNC:34718
MIRN1257	HGNC:35322
OCA6	HGNC:20611
PIP3-E	HGNC:21204
DP	HGNC:9591
BRCACOX	HGNC:120
RN5S177	HGNC:43077
MIRN29	HGNC:31616
CTGF-L	HGNC:12770
53BP2	HGNC:12000
MGC149454	HGNC:26918
sej	HGNC:4013
TRNAE32P	HGNC:35037
PPP1R43	HGNC:367
tRNA-Arg-ACG-2-4	HGNC:34997
IKLF	HGNC:6349
DJ646B12.2	HGNC:17794
hLCB1	HGNC:11277
aiPLA2	HGNC:16753
Hv1	HGNC:28240
YJEFN1	HGNC:18453
CT20	HGNC:17910
KIAA1573	HGNC:29314
IB1099	HGNC:6572
hsa-mir-3649	HGNC:38948
hsa-mir-4297	HGNC:38393
CRACC	HGNC:21394
MIG-6	HGNC:18185
hsa-mir-6125	HGNC:49931
RN5S499	HGNC:43399
hsa-mir-4526	HGNC:41618
Cav1.3	HGNC:1391
PPAR	HGNC:9232
SPMSY	HGNC:11123
bA550O8.2	HGNC:16254
PCBP3-OT1	HGNC:8651
ERP28P	HGNC:24625
C2GNT3	HGNC:17973
FLJ37000	HGNC:25068
ABDH19	HGNC:30178
FLJ39441	HGNC:26818
STARD11	HGNC:2205
FAM80C	HGNC:34034
TCRBV4S2	HGNC:12216
TWINKLE	HGNC:1160
OR4H8	HGNC:8312
DNM1DN15-1	HGNC:35171
NALP2P	HGNC:29887
BDP1	HGNC:9649
EDDM6	HGNC:4516
hsa-mir-1246	HGNC:35312
C1orf144	HGNC:30232
MCRIP2P1	HGNC:49631
gfg-1	HGNC:8053
FLJ14511	HGNC:23159
Pontin52	HGNC:10474
hDC-SIGN	HGNC:1641
CXX1b	HGNC:24514
HMGA1L1	HGNC:13321
E2(17)KB1	HGNC:12474
DKFZp667B0210	HGNC:19087
CRL	HGNC:18969
C16orf57	HGNC:25792
NY-CO-43	HGNC:14542
LEFTB	HGNC:6552
MIRN550-1	HGNC:32804
IL30	HGNC:19157
MOBKL2B	HGNC:23825
LncHIFCAR	HGNC:37187
hATP1	HGNC:823
KIAA0711	HGNC:29104
MRX33	HGNC:18060
IR10	HGNC:2255
CB1A	HGNC:2159
SEPT7L	HGNC:30810
PIGPC1	HGNC:17637
FzE3	HGNC:4045
RN5S166	HGNC:43066
CEV14	HGNC:12305
CT38	HGNC:3987
DKFZp686M22243	HGNC:27049
ANKRD43	HGNC:27033
ZNF328	HGNC:25879
MIRN569	HGNC:32825
BDR1	HGNC:5145
DSCD75	HGNC:29656
DSAEC	HGNC:83
FAM71F2	HGNC:27998
PHAFIN2	HGNC:20757
HHS	HGNC:4125
dJ737E23.1	HGNC:15855
MHA	HGNC:7579
YCR063W	HGNC:29629
BZP	HGNC:11642
Lar1	HGNC:29531
CYP2D7BP	HGNC:2625
P53RFP	HGNC:21578
KIAA1134	HGNC:18621
FLJ32891	HGNC:23191
SERT1	HGNC:11050
PITPNM	HGNC:9003
CYP2A	HGNC:2608
MHP1	HGNC:1388
RPABC5	HGNC:9199
KIAA1094	HGNC:23406
LINC01464	HGNC:50865
DKFZp564G013	HGNC:14873
HB2	HGNC:10593
AER61	HGNC:28526
ASSP2	HGNC:765
SLC21A6	HGNC:10959
LYVE-1	HGNC:14687
UNC13	HGNC:12566
RHBDL7	HGNC:23082
MGC125712	HGNC:1173
C13orf12	HGNC:20330
CD66b	HGNC:1820
LRRC44	HGNC:28318
dJ342K12.1	HGNC:16564
E1AF	HGNC:3493
Trp53cor1	HGNC:43652
hsa-mir-548i-3	HGNC:35354
XPO3P1	HGNC:16586
FBP2	HGNC:6316
LINC01112	HGNC:1399
OFDYP1	HGNC:23873
LINC00953	HGNC:48667
HD1	HGNC:4852
MGC126621	HGNC:18578
C17orf79	HGNC:28848
GNASXL	HGNC:4392
FLJ25925	HGNC:24001
EVDB	HGNC:3500
ptp-IV1a	HGNC:9635
SLC63A1	HGNC:30621
mPA-PLA1beta	HGNC:18821
PPOX	HGNC:4847
MGC10960	HGNC:23131
OST127	HGNC:8411
BBS13	HGNC:7121
SPG58	HGNC:6317
NMNAT	HGNC:17877
GFR	HGNC:16862
KIAA1447	HGNC:29279
GHRL-AS2	HGNC:29904
hsa-mir-6811	HGNC:49944
C9orf16	HGNC:17823
SLC6A10	HGNC:11043
TCONS_00021586	HGNC:42684
FLJ22672	HGNC:30132
CASS2	HGNC:7733
CCP5	HGNC:26147
LINC00873	HGNC:47044
RP11-909B2.1	HGNC:51306
FLJ13258	HGNC:16710
iCE	HGNC:1864
TRNAV26	HGNC:34910
MagT2	HGNC:30242
TF2F1	HGNC:4652
CT149	HGNC:26554
MGC26846	HGNC:24865
ADAR2a-L3	HGNC:226
D3S1363E	HGNC:12988
FLJ11350	HGNC:18272
CDT6	HGNC:24078
TRNAK7	HGNC:34610
D10S65	HGNC:9921
SemB	HGNC:10729
PGMRP	HGNC:8908
LIG2	HGNC:6600
MRS2LP1	HGNC:20590
HSPC013	HGNC:24090
FBX21	HGNC:13592
ML8	HGNC:4055
SPG8	HGNC:28984
S100A11P	HGNC:10491
DCE	HGNC:2859
NPG	HGNC:8140
KAP10.8	HGNC:20525
OR51J2	HGNC:14856
MUC11	HGNC:7510
bA108K1.2	HGNC:31663
OCTS3	HGNC:8028
KIAA1758	HGNC:15679
NCRNA00117	HGNC:34379
9-27	HGNC:5412
ARL17	HGNC:32387
MA5	HGNC:18742
PNAS-11	HGNC:15870
SC4MOL	HGNC:10545
GLTSCR2	HGNC:4333
CaMKI-alpha	HGNC:1459
FLJ13081	HGNC:25782
GUC1A4	HGNC:4689
C14orf92	HGNC:20161
MGC34837	HGNC:28547
C19orf35	HGNC:24793
HSCBCIP1	HGNC:24204
CDH20	HGNC:8711
CPX-III	HGNC:27652
CTD-2246P4.1	HGNC:52928
ACHM2	HGNC:2150
FLJ45202	HGNC:32032
SPY1	HGNC:30613
RN5S197	HGNC:43097
FKBP1L	HGNC:3712
IGHD33	HGNC:5498
HRMT1L4	HGNC:5188
MIRN1469	HGNC:35378
FLJ13340	HGNC:30782
C9orf60	HGNC:30960
PZR	HGNC:7226
CY6	HGNC:1609
FLJ30892	HGNC:15858
TRbeta1	HGNC:11799
5-LOX	HGNC:435
NERF-1A	HGNC:3317
CESK1	HGNC:15553
MGC13010	HGNC:17806
mAKAP	HGNC:376
DIC3	HGNC:30711
NAGCT2	HGNC:4203
BIF1	HGNC:21143
DRE1	HGNC:25947
CMKBR3	HGNC:1604
COX4P1	HGNC:2266
Kec	HGNC:10640
CSNB3	HGNC:8786
MMGL	HGNC:15580
JBTS23	HGNC:19960
IKBB	HGNC:7798
FLJ43983	HGNC:29072
ZNF372	HGNC:18469
mtLeuRS	HGNC:17095
TRBV65	HGNC:12230
DasraB	HGNC:14629
GlyRS	HGNC:4162
DKFZp434D0917	HGNC:18632
C10orf58	HGNC:28651
TUBA8P2	HGNC:44569
C13orf19	HGNC:20596
LINC00577	HGNC:21553
hsa-mir-300	HGNC:33636
Gno1	HGNC:30046
C1orf222	HGNC:29368
EIF3S11	HGNC:18138
IGHV1-C	HGNC:5560
MGC149845	HGNC:29212
TRNAC24	HGNC:34927
UNC112A	HGNC:15889
GROg	HGNC:4604
Neurodap1	HGNC:17481
TBP-1	HGNC:9549
C14orf125	HGNC:20276
FLJ20729	HGNC:26089
FISH	HGNC:23664
RPS4P13	HGNC:36522
APP-BP1	HGNC:621
INO80S	HGNC:12856
C16orf23	HGNC:14151
TPH2	HGNC:11708
nNOS	HGNC:7872
TRQ-CTG1-3	HGNC:34853
T1R1	HGNC:14448
NTEL1	HGNC:24768
hsa-mir-4774	HGNC:41873
nmt-tRNA-Gln-TTG-14-1	HGNC:34617
MKRNP3	HGNC:7119
PR61B	HGNC:9310
MST	HGNC:29678
MGC116735	HGNC:3381
SLG2	HGNC:15620
ME2GLYDH	HGNC:24475
ZNF356	HGNC:16744
KAL1	HGNC:6211
MGC13687	HGNC:9551
PP2CA	HGNC:9275
TRIM43A	HGNC:19015
RIS	HGNC:30289
C5orf56	HGNC:33838
cSHMT	HGNC:10850
LAMA	HGNC:6481
FLJ10916	HGNC:25602
D1S181E	HGNC:2469
TNRC23	HGNC:8061
S863-7	HGNC:7
PIG-S	HGNC:14937
TPR1	HGNC:12391
PDZX	HGNC:30006
C1orf189	HGNC:32305
DKFZp547J199	HGNC:30500
TRNAG23	HGNC:34815
ZBTB29	HGNC:4909
CPA3	HGNC:15740
GAPDHL18	HGNC:22955
WF-1	HGNC:26937
SWDS	HGNC:19440
FLJ33659	HGNC:19667
PME	HGNC:2482
Spc97p	HGNC:18599
GCNF1	HGNC:7985
IGLV(IV)-65	HGNC:5944
RIFL	HGNC:24933
MERM1	HGNC:16405
KIF16A	HGNC:19162
hsRPB7	HGNC:9194
FLJ25720	HGNC:13241
ENGL	HGNC:3347
MGC2555	HGNC:23589
CT121	HGNC:18060
TCL3	HGNC:5056
CASC1	HGNC:29599
NCB5OR	HGNC:20147
NKG2D	HGNC:18788
CASP12P1	HGNC:19004
α4	HGNC:5461
MTF2L2	HGNC:8919
SIGLECP1	HGNC:15491
hsa-mir-3130-4	HGNC:38363
ncRNA-a5	HGNC:43717
MGC45771	HGNC:24213
dJ366N23.1	HGNC:12570
TAFIID32	HGNC:11542
HDGFP	HGNC:31836
hsa-mir-4732	HGNC:41639
SID-1	HGNC:25967
RP11-311P8.3	HGNC:28334
C3orf83	HGNC:40375
ACHAP	HGNC:21101
GP	HGNC:18280
MGC23244	HGNC:28324
bA245H20.2	HGNC:20298
RP5-998N21.9	HGNC:30602
C14orf107	HGNC:20191
HNSCAT1	HGNC:50325
SEC11L2	HGNC:31884
NCBP2-AS2	HGNC:25121
GK002	HGNC:14508
HSPC276	HGNC:4834
PPP1R106	HGNC:7213
CI-23k	HGNC:7715
FLJ20068	HGNC:14946
NCS2	HGNC:28005
CPHL1	HGNC:31714
NALP11	HGNC:22945
BRAG1	HGNC:29059
FLJ20037	HGNC:18345
C9orf39	HGNC:23432
UPK3BL	HGNC:37278
ON	HGNC:11219
MGC4319	HGNC:3360
D15F37S1	HGNC:4868
RNU49	HGNC:10189
Tctex5	HGNC:9285
KRIP6	HGNC:25947
REPA3	HGNC:10291
SPE-39	HGNC:20347
CD2BP1	HGNC:9580
YEA4	HGNC:20584
TRX-CAT1-3	HGNC:12318
C22orf41	HGNC:35245
GRIK	HGNC:4582
FLJ14399	HGNC:25890
RN5S51	HGNC:42828
ZNF127L2	HGNC:7117
CUG2	HGNC:21488
BXMAS1	HGNC:18508
KIAA1968	HGNC:24108
CDCA6	HGNC:1552
HCGIV-5	HGNC:22925
SorLA	HGNC:11185
NCRNA00245	HGNC:23525
miR-182	HGNC:31553
OR4C11P	HGNC:15167
C17orf96	HGNC:34493
NCRNA00266-1	HGNC:51706
C13orf2	HGNC:14678
hMIS12	HGNC:24967
MIHC	HGNC:591
CFAP124	HGNC:12469
OR6J1P	HGNC:14707
OR2Z2	HGNC:15391
KIAA0001	HGNC:16442
FNDC3	HGNC:20296
TCONS_00021685	HGNC:42706
PKAN	HGNC:15894
U7.29	HGNC:34125
RIBB	HGNC:10023
dJ530I15.2	HGNC:16168
ILPIPA	HGNC:13205
CMRF35H	HGNC:19319
SIRH4	HGNC:33156
ZNF494	HGNC:23709
JM2	HGNC:6106
ZNF310P	HGNC:14097
LAMR1P8	HGNC:31462
PRO1996	HGNC:17479
hs6M1-17	HGNC:8165
MAT-8	HGNC:4027
FDPSL5	HGNC:3636
14q(I-7)	HGNC:32986
FLJ44672	HGNC:38537
FLJ41676	HGNC:27922
MA-linc1	HGNC:49009
Sbk	HGNC:17699
RP3-475N16.1	HGNC:56026
D3S3191	HGNC:12585
MTB-ZF	HGNC:9347
NR2B3	HGNC:10479
lnc-CCDST	HGNC:55988
TRNAL35	HGNC:34932
FLJ39408	HGNC:29500
HNPCC2	HGNC:7127
FLJ31818	HGNC:26475
ZVNH1	HGNC:13548
NPL2	HGNC:25155
RNU1-53	HGNC:10133
LSD	HGNC:2959
FANCR	HGNC:9817
PCDH-GAMMA-B3	HGNC:8710
dJ823N20.2	HGNC:16590
CES1A2	HGNC:1863
PPP2R6C	HGNC:15721
CTD-2008L17.2	HGNC:56641
OR5D9P	HGNC:8335
hsa-mir-8085	HGNC:50120
MGC4268	HGNC:28658
ERP	HGNC:3325
NEP1	HGNC:16912
DEOC	HGNC:24269
TAFII140	HGNC:17303
I-BAP	HGNC:3561
gremlin	HGNC:2001
KIAA1109	HGNC:26953
MGC33182	HGNC:20289
C16orf18	HGNC:26960
DKFZp434B195	HGNC:25250
PTGHS	HGNC:9604
OR3DG	HGNC:8442
MTHFDL1	HGNC:7433
FLJ22060	HGNC:18018
mtTFB	HGNC:17037
MDONA	HGNC:50545
YANK1	HGNC:28317
hsa-mir-4655	HGNC:41754
HCF2	HGNC:4838
RP11-465L10.10	HGNC:53143
ERR10	HGNC:6662
FAM125B	HGNC:23368
OR7E40P	HGNC:15365
ZNF339	HGNC:15804
MKRNP1	HGNC:7117
bA174C7.4	HGNC:21571
ROCKI	HGNC:50323
BCR-4	HGNC:1017
C14orf115	HGNC:20223
DVWA	HGNC:33484
FKHR	HGNC:3819
MIRN891A	HGNC:33635
NKX2A	HGNC:11825
ARC16	HGNC:708
EREG1	HGNC:12339
Baf53a	HGNC:24124
CREB-H	HGNC:18855
ndrp	HGNC:15673
KIAA0404	HGNC:29028
17-BETA-HSD11	HGNC:22960
NICE-4	HGNC:29877
P29	HGNC:9495
MAGEL3	HGNC:7677
FAM103A2P	HGNC:21234
dJ222E13.1	HGNC:14408
CDKN7	HGNC:1778
FLJ20666	HGNC:20314
L41	HGNC:10354
TP53TG3A	HGNC:30759
hsa-mir-8088	HGNC:50167
PI1	HGNC:8941
RAP1GN1	HGNC:679
SFTP4	HGNC:10803
FLJ13102	HGNC:20603
VSIG3	HGNC:16669
TRL-AAG2-3	HGNC:34895
IRK4	HGNC:6260
PPP1R39	HGNC:26299
CD363	HGNC:3165
SUPT16HP	HGNC:31388
CYPH	HGNC:14651
hAGO2	HGNC:3263
HKMT1188	HGNC:28206
ADAR3	HGNC:227
NRF	HGNC:19374
FAM197Y1P	HGNC:37464
SP-22	HGNC:9354
FKBP16	HGNC:358
PFAAP5	HGNC:26916
Nori-2p	HGNC:16197
IGHV(III)-22-2	HGNC:5696
KIAA1835	HGNC:9854
hemojuvelin	HGNC:4887
hsa-mir-4256	HGNC:38388
CS2	HGNC:17448
C17orf89	HGNC:33551
H2B/f	HGNC:4751
DKFZp451J1719	HGNC:25035
RAX	HGNC:9438
FLJ25291	HGNC:25052
hsa-mir-365-1	HGNC:33692
EI	HGNC:3311
CAS-L	HGNC:7733
ZCCHC15	HGNC:28842
SCOT-T	HGNC:18606
onzin	HGNC:19254
RANBP16	HGNC:14108
MGC5242	HGNC:22432
MGC35285	HGNC:28572
BT	HGNC:1135
HM74A	HGNC:24827
HIST1H2AB	HGNC:4734
HsT18717	HGNC:188
FAM38B	HGNC:26270
My012	HGNC:20954
NSEP1	HGNC:8014
PKN	HGNC:9405
PKG2	HGNC:9416
TRNAQ40P	HGNC:35048
SERCA2	HGNC:812
INTS4L1	HGNC:21925
EPF8	HGNC:49334
H4F2iv	HGNC:4785
hDrn1	HGNC:25613
FLJ32349	HGNC:26310
FLJ20344	HGNC:26007
ZNF299	HGNC:13088
MGC3647	HGNC:11542
MGC42951	HGNC:32382
TBLR1	HGNC:29529
ANX14	HGNC:534
CCA1	HGNC:17341
SAPK3	HGNC:6874
PLPL	HGNC:23243
HIST1H1PS2	HGNC:4770
rd16	HGNC:29021
EAR-2	HGNC:7977
MGC20806	HGNC:28302
RFPL3-AS	HGNC:9981
ALS2CR2P1	HGNC:22478
HsT16041	HGNC:31024
C3orf37	HGNC:24446
G2	HGNC:13918
tRNA-Gln-CTG-1-5	HGNC:12341
BOB1	HGNC:9211
C6orf110	HGNC:17735
PLCL	HGNC:9063
RP11-396F22.1	HGNC:53937
KRT122P	HGNC:30197
MIRHG1	HGNC:23564
C6orf174	HGNC:21494
KIAA1257	HGNC:29231
MGC24133	HGNC:28344
MGC52498	HGNC:28757
C10orf138	HGNC:33787
NPHP15	HGNC:29182
TYRP2	HGNC:2709
FLJ23322	HGNC:26264
ACHM4	HGNC:4394
KIAA0730	HGNC:10519
T-FABP	HGNC:3563
MIRN1247	HGNC:35313
GNAI2L	HGNC:4386
PHF5GP	HGNC:23269
MGC30006	HGNC:28445
PLK1S1	HGNC:15865
dJ310O13.4	HGNC:23062
EBR2A	HGNC:6493
H2AFC	HGNC:4725
cN-IIIB	HGNC:28300
NOL14	HGNC:16821
ATP5GP2	HGNC:19672
MGC4606	HGNC:28707
ATG16L	HGNC:21498
CMKRL2	HGNC:4485
PPP1R22	HGNC:21906
RN5S424	HGNC:43324
CBF-A	HGNC:7805
H3/M	HGNC:20503
LINC00657	HGNC:44311
RP13-360B22.2	HGNC:26217
IGKJRBP1	HGNC:5725
KIAA0795	HGNC:29120
TMPRSS3	HGNC:11878
SRPSMCR	HGNC:30428
ZNF37B	HGNC:13103
NCRNA00183	HGNC:37191
ANE1	HGNC:9848
FLJ11342	HGNC:25656
FLJ27267	HGNC:27655
f-spondin	HGNC:11252
RBM13	HGNC:13703
PP838	HGNC:13089
SCA16	HGNC:6180
FLJ11100	HGNC:24170
CD232	HGNC:9106
TEN4	HGNC:29945
BT2D	HGNC:20608
hsa-mir-6784	HGNC:49988
DEFA7	HGNC:31798
bA33E24.2	HGNC:21026
ZNF192	HGNC:12983
cdc14	HGNC:1718
HNRPR	HGNC:5047
CD290	HGNC:15634
PA-PLA1	HGNC:19714
RN5S492	HGNC:43392
hsa-mir-6742	HGNC:50090
Rpn4	HGNC:9567
DKFZp761I2123	HGNC:22229
MGC3037	HGNC:8056
FTHL4	HGNC:3991
C9orf84	HGNC:26535
bA524O24.3	HGNC:15660
ENST869	HGNC:56267
STAP-2	HGNC:30430
PPP1R107	HGNC:29822
IGKV2/OR2-7	HGNC:5810
PDZK3	HGNC:18486
PRYP7	HGNC:34018
XLOC_013014	HGNC:49756
NY-CO-25	HGNC:16969
NPAP60L	HGNC:8065
HSPC099	HGNC:29039
FLJ10298	HGNC:25505
KOX18	HGNC:13101
TRP32	HGNC:12436
IGKV1/OR22-1	HGNC:5772
ATPVC	HGNC:13542
alphaGMR	HGNC:2435
RNU5A	HGNC:10211
KIAA1211L	HGNC:33454
GRAMD5	HGNC:8017
C1orf150	HGNC:29583
tRNA-Ala-AGC-24-1	HGNC:54707
FLJ25369	HGNC:26341
ATP5E	HGNC:838
FAM7B1	HGNC:15782
FLJ25339	HGNC:26336
KIAA0259	HGNC:17008
HSPC302	HGNC:28261
MGC14280	HGNC:23759
hsa-mir-485	HGNC:32067
C20orf70	HGNC:16203
DNM1DN8-1	HGNC:35181
MGC39650	HGNC:28600
BT3.1	HGNC:1138
MGC30052	HGNC:23189
CT2.2	HGNC:15723
NAPOR	HGNC:2549
FAAP43	HGNC:20748
ZNF291	HGNC:13081
LIN-28	HGNC:15986
ZC3H9	HGNC:15948
MGC72001	HGNC:24427
ILTIF	HGNC:14900
CTSLL7	HGNC:2540
KIAA1369	HGNC:24921
BM88	HGNC:24153
HPRG	HGNC:5181
MGC13114	HGNC:14141
KIAA1954	HGNC:23329
SCYA20	HGNC:10619
AXOR35	HGNC:17383
C20orf143	HGNC:16136
MRPL56	HGNC:16468
WCRF180	HGNC:960
MAGEL1	HGNC:6808
SYS	HGNC:17697
PMLP	HGNC:18553
ADH2	HGNC:250
CSPP	HGNC:26193
TCEB2P1	HGNC:39719
IAN2	HGNC:23237
C16orf14	HGNC:14142
LSR5	HGNC:18578
TCONS_00007515	HGNC:49899
HuCds1	HGNC:16627
GKP1	HGNC:23263
DLNB14	HGNC:30460
NY-REN-7-like	HGNC:33936
KIAA1376	HGNC:29263
BRLZ	HGNC:26757
tagL	HGNC:30013
MCADH	HGNC:89
MEKK8	HGNC:6860
C6orf1	HGNC:1340
Nesprin-4	HGNC:26703
FIGLER1	HGNC:28370
NET49	HGNC:28461
C6orf11	HGNC:13923
RRP41B	HGNC:24662
PODXL1	HGNC:9171
BSYN2	HGNC:11168
tRNA-Gln-CTG-1-4	HGNC:34884
U7.65	HGNC:34161
CHASM	HGNC:32394
DPD	HGNC:3012
HSPC023	HGNC:24991
SRML1	HGNC:11296
TRNAK28	HGNC:34878
MYST4	HGNC:17582
FLJ22604	HGNC:24128
C20orf193	HGNC:14045
ISCA1L	HGNC:33263
OR11-392	HGNC:8386
Mpa2	HGNC:20480
C14orf155	HGNC:20494
CCAT	HGNC:4204
RNASEH1-AS1	HGNC:49289
SEEEG-1	HGNC:17466
RNF107	HGNC:12557
EAAT2	HGNC:10940
HSHTPCRX16	HGNC:8351
U18C	HGNC:32716
FAM14B	HGNC:19754
CC1.3	HGNC:15923
DKFZp779B1540	HGNC:33769
MIRN595	HGNC:32851
ORCTL2S	HGNC:10965
OTTHUMG00000007909	HGNC:29485
ZIRTL	HGNC:12876
UBXD1	HGNC:14928
CPSF73L	HGNC:26052
TPCAT-10-36067	HGNC:48665
GK7P	HGNC:23263
DPRP3	HGNC:20823
POTE-15	HGNC:33734
CLARP	HGNC:1876
MGC34760	HGNC:28537
MIRN132	HGNC:31516
hsa-mir-6765	HGNC:50030
UQCR1	HGNC:12585
ZDHHC8P1	HGNC:26461
IGLJ-COR18	HGNC:28614
hsa-mir-4502	HGNC:41534
FLJ21739	HGNC:20619
dJ310J6.1	HGNC:21485
AGAP10	HGNC:23659
NCRNA00162	HGNC:19725
FLJ20508	HGNC:26039
ALP56	HGNC:934
ARTD2	HGNC:272
SDHALP2	HGNC:27408
MGC5395	HGNC:347
hsa-mir-4775	HGNC:41885
CMKBR5	HGNC:1606
IGKV3/OR22-2	HGNC:5833
NCCRP-1	HGNC:33739
BPY2IP1	HGNC:15715
OR1E3P	HGNC:8191
FLJ14084	HGNC:25864
BANF1L1	HGNC:23426
